#separator:Tab
#html:true
#columns:ID	Front	Back	Explanation	Tags
#tags column:5
"clf-c02-2026-08-28-093"	"Which service provides a high-performance parallel file system commonly used by HPC workloads?"	"Amazon FSx for Lustre. It provides a high-performance parallel file system for data-intensive and HPC workloads."	"FSx for Lustre is optimized for fast parallel access to large datasets.<br><strong>Example:</strong> Compute nodes read and write a shared high-throughput dataset through an FSx for Lustre file system."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_7_—_Compute,_Containers,_HPC_&_Storage type::scenario topic::High-performance_computing topic::Storage"
"clf-c02-2026-08-28-094"	"What does AWS Ground Station provide?"	"Managed satellite ground-station capabilities integrated with AWS services."	"It lets customers schedule satellite contacts and move received data into AWS for processing and storage.<br><strong>Example:</strong> A satellite operator schedules an antenna contact and sends the received data directly into AWS services."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_7_—_Compute,_Containers,_HPC_&_Storage type::recall topic::Satellite_workloads"
"clf-c02-2026-08-28-095"	"Distinguish high availability from fault tolerance without using fixed percentages."	"High availability minimizes downtime through redundancy and recovery; fault tolerance aims to continue operating despite component failure."	"Neither term guarantees one universal SLA or literal 100% availability.<br><strong>Example:</strong> A highly available service recovers quickly after a node fails; a fault-tolerant design continues serving without interruption."	"CLF-C02 Cloud Concepts day::2026-08-28 chat::2026-08-28_-_Chat_4_—_Edge,_Private_Connectivity_&_Compliance type::comparison topic::Resilience topic::Availability"
"clf-c02-2026-08-28-096"	"Distinguish RTO from RPO."	"RTO is maximum acceptable time to restore service; RPO is maximum acceptable data loss measured in time."	"RTO looks forward from disruption to recovery; RPO looks backward to the last recoverable point.<br><strong>Example:</strong> An RPO of 15 minutes permits 15 minutes of lost changes, while an RTO of one hour permits one hour to restore service."	"CLF-C02 Cloud Concepts day::2026-08-28 chat::2026-08-28_-_Chat_5_—_Disaster_Recovery_&_AWS_APIs type::comparison topic::Disaster_recovery topic::Recovery_objectives"
"clf-c02-2026-08-28-097"	"Which studied DR strategy generally has the lowest ongoing cost but the longest recovery time?"	"Backup and restore. Resources are recreated from backups after the incident, keeping ongoing cost low but recovery slower."	"Infrastructure and data are restored after the event, trading low standby cost for higher RTO and often higher RPO.<br><strong>Example:</strong> After a disaster, the team restores database backups and redeploys servers, accepting slower recovery for very low standby cost."	"CLF-C02 Cloud Concepts day::2026-08-28 chat::2026-08-28_-_Chat_5_—_Disaster_Recovery_&_AWS_APIs type::scenario topic::Disaster_recovery topic::Backup_and_restore"
"clf-c02-2026-08-28-098"	"What remains ready in a pilot-light disaster recovery strategy?"	"The critical core of the workload, including replicated data, while additional application infrastructure is started or deployed during recovery."	"Pilot light costs less than maintaining a fully functional scaled-down environment.<br><strong>Example:</strong> The recovery Region keeps replicated data and essential core services ready, then launches the remaining application during failover."	"CLF-C02 Cloud Concepts day::2026-08-28 chat::2026-08-28_-_Chat_5_—_Disaster_Recovery_&_AWS_APIs type::recall topic::Disaster_recovery topic::Pilot_light"
"clf-c02-2026-08-28-099"	"What distinguishes warm standby from pilot light?"	"Warm standby keeps a scaled-down but functional copy of the workload running in the recovery location."	"It costs more during normal operation but normally recovers faster.<br><strong>Example:</strong> Pilot light keeps only the critical core ready; warm standby keeps a scaled-down but complete application already running."	"CLF-C02 Cloud Concepts day::2026-08-28 chat::2026-08-28_-_Chat_5_—_Disaster_Recovery_&_AWS_APIs type::recall topic::Disaster_recovery topic::Warm_standby"
"clf-c02-2026-08-28-100"	"A company requires faster recovery than pilot light and accepts the cost of a small functional environment running continuously. Which strategy fits?"	"Warm standby. A smaller but fully working copy runs continuously and scales up during recovery."	"The recovery environment already serves as a functional scaled-down copy and can scale after failover.<br><strong>Example:</strong> A small working environment serves minimal capacity in the recovery Region and scales up when the primary Region fails."	"CLF-C02 Cloud Concepts day::2026-08-28 chat::2026-08-28_-_Chat_5_—_Disaster_Recovery_&_AWS_APIs type::scenario topic::Disaster_recovery topic::Strategy_selection"
"clf-c02-2026-08-28-101"	"Does multi-site active/active automatically guarantee RPO 0?"	"No. It can reduce recovery time to near zero, but RPO depends on the data architecture and replication behavior."	"Data corruption may still require backups, and active traffic in multiple Regions does not prove synchronous writes.<br><strong>Example:</strong> Two Regions may already serve traffic, yet asynchronous database replication can still leave the recovery copy several seconds behind."	"CLF-C02 Cloud Concepts day::2026-08-28 chat::2026-08-28_-_Chat_5_—_Disaster_Recovery_&_AWS_APIs type::recall topic::Disaster_recovery topic::Active/active"
"clf-c02-2026-08-28-102"	"How do synchronous and asynchronous replication affect RPO?"	"Synchronous replication can target RPO 0 but adds latency and constraints; asynchronous replication can leave a replication lag."	"The replication method affects data-loss exposure independently of how quickly compute recovers.<br><strong>Example:</strong> A synchronous write waits for both copies and can target zero data loss; an asynchronous replica may remain several seconds behind."	"CLF-C02 Cloud Concepts day::2026-08-28 chat::2026-08-28_-_Chat_5_—_Disaster_Recovery_&_AWS_APIs type::comparison topic::Disaster_recovery topic::Replication"
"clf-c02-2026-08-28-103"	"What does AWS CloudFormation do?"	"It provisions and manages AWS resources from declarative JSON or YAML templates."	"Deployed resources are managed in stacks as logical units.<br><strong>Example:</strong> The same reviewed YAML template creates an identical test environment and production environment."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_6_—_CloudFormation,_CDK_&_Responsibility type::recall topic::Infrastructure_as_Code"
"clf-c02-2026-08-28-104"	"What is a CloudFormation stack?"	"A collection of AWS resources managed as a single unit from a template."	"Creating, updating, and deleting the stack manages the related resources and their dependencies.<br><strong>Example:</strong> One stack manages a VPC, load balancer, and servers together, while a retained database can survive stack deletion."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_6_—_CloudFormation,_CDK_&_Responsibility type::recall topic::Infrastructure_as_Code topic::Stacks"
"clf-c02-2026-08-28-105"	"Does deleting a CloudFormation stack always delete every resource it ever managed?"	"No. Deletion policies, retained resources, dependencies, or deletion failures can leave resources behind."	"CloudFormation deletes managed resources by default, but lifecycle controls and failures are important exceptions.<br><strong>Example:</strong> One stack manages a VPC, load balancer, and servers together, while a retained database can survive stack deletion."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_6_—_CloudFormation,_CDK_&_Responsibility type::scenario topic::Infrastructure_as_Code topic::Resource_lifecycle"
"clf-c02-2026-08-28-106"	"What happens when `cdk synth` runs?"	"AWS CDK synthesizes the application’s constructs into a CloudFormation template."	"CloudFormation remains the deployment engine for the synthesized infrastructure definition.<br><strong>Example:</strong> A TypeScript CDK definition of a bucket becomes a declarative CloudFormation template when cdk synth runs."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_6_—_CloudFormation,_CDK_&_Responsibility type::recall topic::Infrastructure_as_Code topic::CDK"
"clf-c02-2026-08-28-107"	"Distinguish an AWS SDK from AWS CDK."	"An SDK invokes AWS APIs from application or automation code; CDK defines infrastructure and synthesizes CloudFormation templates."	"Use an SDK for runtime service operations and CDK for infrastructure definitions.<br><strong>Example:</strong> Application code uses an SDK to upload an object; infrastructure code uses CDK to define the bucket and synthesize CloudFormation."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_6_—_CloudFormation,_CDK_&_Responsibility type::comparison topic::Developer_tools topic::Infrastructure_as_Code"
"clf-c02-2026-08-28-108"	"What is an Amazon Resource Name (ARN) used for?"	"To identify an AWS resource in APIs, policies, and service integrations using a service-specific format."	"ARN segments and resource portions vary, and global-resource ARNs can omit the Region segment.<br><strong>Example:</strong> An IAM policy uses a bucket ARN to grant access to exactly that resource."	"CLF-C02 Security and Compliance day::2026-08-28 chat::2026-08-28_-_Chat_5_—_Disaster_Recovery_&_AWS_APIs type::recall topic::Resource_identifiers"
"clf-c02-2026-08-28-109"	"What does AWS Signature Version 4 provide for API requests?"	"It authenticates the credentialed caller and protects request integrity by signing request data."	"SDKs and the CLI normally create the signature automatically from credentials.<br><strong>Example:</strong> The AWS CLI hashes and signs a request so AWS can verify both the caller and the request contents."	"CLF-C02 Security and Compliance day::2026-08-28 chat::2026-08-28_-_Chat_5_—_Disaster_Recovery_&_AWS_APIs type::recall topic::API_security topic::Request_signing"
"clf-c02-2026-08-28-110"	"What is the difference between a Regional service endpoint and a global endpoint?"	"A Regional endpoint targets service API behavior in a named Region; a global endpoint has no Region in the hostname and serves global or centralized behavior."	"Endpoint scope and resource scope are related but not always identical, so avoid assuming every URL follows one rule.<br><strong>Example:</strong> An EC2 API call targets a named Region such as us-west-2, while a centralized global service may expose an endpoint without a Region in its hostname."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_5_—_Disaster_Recovery_&_AWS_APIs type::comparison topic::APIs topic::Service_endpoints"
"clf-c02-2026-08-28-111"	"Why is calling AWS CDK purely “imperative IaC” incomplete?"	"CDK code can use imperative language features, but it synthesizes a declarative CloudFormation template that CloudFormation deploys."	"The source language and the deployment model are different layers.<br><strong>Example:</strong> CDK code can use loops and functions, but the result deployed by CloudFormation is still a declarative template."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_6_—_CloudFormation,_CDK_&_Responsibility type::recall topic::Infrastructure_as_Code topic::CDK"
"clf-c02-2026-08-28-112"	"A company needs to decouple order processing and independently notify several subscribers. Which TWO services meet these separate needs?"	"Use Amazon SQS for the work queue and Amazon SNS for fan-out notifications."	"SQS buffers work for consumers; SNS publishes to multiple subscriptions.<br><strong>Example:</strong> SQS buffers each order for one worker, while SNS independently publishes an order event to several interested subscribers."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_1_—_Cloud_Foundations_&_IaC type::multiple-response topic::Messaging topic::Service_selection"
"clf-c02-2026-08-28-113"	"Which TWO actions are recommended for the AWS account root user?"	"Enable MFA and use root only for tasks that require it."	"The root user is unrestricted and should not be used for routine work or programmatic access keys.<br><strong>Example:</strong> An administrator uses a normal role every day and opens the root account only for a task that specifically requires root."	"CLF-C02 Security and Compliance day::2026-08-28 chat::2026-08-28_-_Chat_2_—_IAM,_CloudFront_&_Monitoring type::multiple-response topic::Root_user topic::Security_best_practices"
"clf-c02-2026-08-28-114"	"A security team must explicitly deny one malicious IP range for every resource in a subnet. Which control should it configure?"	"A network ACL. It can apply an explicit deny rule to traffic crossing the subnet boundary."	"NACLs operate at subnet boundaries and support explicit deny rules; security groups are allow-only.<br><strong>Example:</strong> A subnet NACL denies a known malicious CIDR and separately permits the required inbound and outbound traffic."	"CLF-C02 Security and Compliance day::2026-08-28 chat::2026-08-28_-_Chat_3_—_Global_Infrastructure_&_VPC type::single-choice topic::Network_security"
"clf-c02-2026-08-28-115"	"Which statement about VPC network scope is correct?"	"A VPC spans Availability Zones in one Region, while each subnet belongs to one AZ."	"A VPC is Regional and subnets are AZ-scoped.<br><strong>Example:</strong> A company creates one public and one private subnet in each of two Availability Zones for resilience."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_3_—_Global_Infrastructure_&_VPC type::single-choice topic::Networking topic::Global_infrastructure"
"clf-c02-2026-08-28-116"	"Which statement correctly describes a general-purpose S3 bucket?"	"Its data is stored in a selected Region, while its bucket name is globally unique."	"Global naming and the global console view do not make the bucket’s data automatically global.<br><strong>Example:</strong> The globally unique bucket name company-receipts can still store its objects only in the selected eu-west-1 Region."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_3_—_Global_Infrastructure_&_VPC type::single-choice topic::Storage topic::Global_infrastructure"
"clf-c02-2026-08-28-117"	"Private EC2 instances need same-Region S3 access without a NAT gateway or additional endpoint charge. Which option is best?"	"An S3 gateway VPC endpoint. It provides private S3 access through route-table entries without an hourly endpoint charge."	"Gateway endpoints route S3 traffic through selected route tables with no additional endpoint charge.<br><strong>Example:</strong> Private instances reach S3 through a route-table entry without using a NAT gateway."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_4_—_Edge,_Private_Connectivity_&_Compliance type::single-choice topic::VPC_endpoints"
"clf-c02-2026-08-28-118"	"A gaming application needs static anycast IP addresses and accelerated UDP traffic without content caching. Which service fits?"	"AWS Global Accelerator."	"Global Accelerator improves network paths for supported TCP/UDP traffic and does not act as a CDN cache.<br><strong>Example:</strong> A global multiplayer game uses Global Accelerator’s static anycast IPs to improve UDP paths without caching packets."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_4_—_Edge,_Private_Connectivity_&_Compliance type::single-choice topic::Content_delivery topic::Network_acceleration"
"clf-c02-2026-08-28-119"	"Hundreds of Linux EC2 instances need concurrent access to the same shared directory hierarchy. Which storage service fits?"	"Amazon EFS."	"EFS provides shared NFS file storage that multiple compute instances can mount.<br><strong>Example:</strong> Hundreds of Linux EC2 instances mount the same EFS directory over NFS."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_7_—_Compute,_Containers,_HPC_&_Storage type::single-choice topic::Storage topic::Service_selection"
"clf-c02-2026-08-28-120"	"A company runs an application on Amazon EC2. Which TWO tasks are customer responsibilities?"	"Patching the guest operating system and configuring security groups."	"AWS manages the facilities, physical hardware, and virtualization layer.<br><strong>Example:</strong> AWS maintains the physical EC2 host, while the customer patches the guest OS and decides which security-group traffic to allow."	"CLF-C02 Security and Compliance day::2026-08-28 chat::2026-08-28_-_Chat_6_—_CloudFormation,_CDK_&_Responsibility type::multiple-response topic::Shared_responsibility"
"clf-c02-2026-08-28-121"	"A rendering workload can checkpoint progress and tolerate interruption. Which EC2 purchase option can provide the largest discount with no long-term commitment?"	"EC2 Spot Instances. They use discounted spare capacity but must tolerate possible interruption."	"Spot uses spare capacity at discounted prices and is appropriate for interrupt-tolerant work.<br><strong>Example:</strong> A rendering job saves checkpoints so it can resume elsewhere if AWS interrupts its discounted Spot instance."	"CLF-C02 Billing, Pricing, and Support day::2026-08-28 chat::2026-08-28_-_Chat_7_—_Compute,_Containers,_HPC_&_Storage type::single-choice topic::EC2_pricing topic::Spot"
"clf-c02-2026-08-28-122"	"A finance team wants an email when forecast monthly cost exceeds a threshold. Which service should it use?"	"AWS Budgets. It compares cost or usage with thresholds and can notify you or run separately configured actions."	"Budgets evaluates actual or forecast cost/usage against configured thresholds.<br><strong>Example:</strong> Finance explores last month’s spend in Cost Explorer and creates a Budget alert for next month’s forecast."	"CLF-C02 Billing, Pricing, and Support day::2026-08-28 chat::2026-08-28_-_Chat_2_—_IAM,_CloudFront_&_Monitoring type::single-choice topic::Cost_management"
"clf-c02-2026-08-28-123"	"Which statement about AWS Fargate is correct?"	"It provides serverless compute capacity for supported ECS and EKS workloads."	"ECS and EKS orchestrate containers; Fargate supplies managed compute capacity.<br><strong>Example:</strong> A team uses EKS for Kubernetes and Fargate so it does not have to provision the worker servers."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_7_—_Compute,_Containers,_HPC_&_Storage type::single-choice topic::Containers topic::Serverless"
"clf-c02-2026-08-28-124"	"A business can tolerate losing at most 15 minutes of transactions after a disaster. Which objective is being specified?"	"Recovery Point Objective (RPO)."	"RPO expresses acceptable data loss measured in time before the disruption.<br><strong>Example:</strong> An RPO of 15 minutes permits up to 15 minutes of lost changes, while an RTO of one hour permits one hour to restore service."	"CLF-C02 Cloud Concepts day::2026-08-28 chat::2026-08-28_-_Chat_5_—_Disaster_Recovery_&_AWS_APIs type::single-choice topic::Disaster_recovery topic::Recovery_objectives"
"clf-c02-2026-08-28-125"	"A recovery Region runs a small but fully functional copy of the workload and scales up after failover. Which strategy is this?"	"Warm standby. A smaller but fully working copy runs continuously and scales up during recovery."	"Warm standby keeps reduced-capacity functionality running continuously.<br><strong>Example:</strong> A small working copy serves minimal capacity in the recovery Region and scales up when the primary Region fails."	"CLF-C02 Cloud Concepts day::2026-08-28 chat::2026-08-28_-_Chat_5_—_Disaster_Recovery_&_AWS_APIs type::single-choice topic::Disaster_recovery topic::Warm_standby"
"clf-c02-2026-08-28-126"	"Which statement about multi-site active/active is most accurate?"	"It can reduce RTO to near zero, but RPO still depends on the data architecture and replication behavior."	"Serving traffic from several Regions does not automatically guarantee synchronous writes or zero data loss.<br><strong>Example:</strong> Active/active Regions can make application failover almost immediate, but asynchronous database writes may still create a nonzero RPO."	"CLF-C02 Cloud Concepts day::2026-08-28 chat::2026-08-28_-_Chat_5_—_Disaster_Recovery_&_AWS_APIs type::single-choice topic::Disaster_recovery topic::Active/active"
"clf-c02-2026-08-28-127"	"What is the direct output of `cdk synth`?"	"A CloudFormation template. CDK converts the constructs into this declarative description for deployment."	"CDK constructs written in supported programming languages synthesize into the declarative template deployed by CloudFormation.<br><strong>Example:</strong> Running cdk synth on a TypeScript stack outputs the CloudFormation template that describes its resources."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_6_—_CloudFormation,_CDK_&_Responsibility type::single-choice topic::Infrastructure_as_Code topic::CDK"
"clf-c02-2026-08-28-128"	"An application runs on EC2 and needs access to S3. What is the preferred credential approach?"	"Attach an IAM role to the EC2 instance and use temporary credentials."	"Roles avoid embedding long-lived access keys in application files.<br><strong>Example:</strong> An EC2 application assumes a role and receives temporary credentials instead of storing a secret key in a file."	"CLF-C02 Security and Compliance day::2026-08-28 chat::2026-08-28_-_Chat_6_—_CloudFormation,_CDK_&_Responsibility type::single-choice topic::Access_keys topic::Temporary_credentials"
"clf-c02-2026-08-28-129"	"A factory must run AWS-managed infrastructure inside its own facility for local processing. Which service is designed for this?"	"AWS Outposts. It brings AWS-managed infrastructure and selected services into the customer’s own facility."	"Outposts extends AWS infrastructure and selected services to customer premises.<br><strong>Example:</strong> A factory processes data on AWS-managed Outposts racks installed inside its own facility."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_4_—_Edge,_Private_Connectivity_&_Compliance type::single-choice topic::Edge_computing topic::Hybrid_cloud"
"clf-c02-2026-09-01-001"	"What is the primary purpose of Amazon RDS?"	"To run managed relational databases using supported database engines."	"AWS manages much of the database infrastructure and routine operations while the customer manages data, access, schema, and workload choices.<br><strong>Example:</strong> A company runs PostgreSQL on RDS so AWS handles backups and database infrastructure while the team manages its schema and data."	"CLF-C02 Cloud Technology and Services day::2026-09-01 chat::2026-09-01_-_Chat_8_—_Databases,_VPC_&_EC2 type::recall topic::Databases topic::Relational_databases"
"clf-c02-2026-09-01-002"	"Name four database engines supported by Amazon RDS."	"Any four of PostgreSQL, MySQL, MariaDB, Oracle Database, Microsoft SQL Server, and IBM Db2."	"RDS is a managed service layer for familiar relational engines.<br><strong>Example:</strong> A company runs PostgreSQL on RDS so AWS handles backups and database infrastructure while the team manages its schema and data."	"CLF-C02 Cloud Technology and Services day::2026-09-01 chat::2026-09-01_-_Chat_8_—_Databases,_VPC_&_EC2 type::recall topic::Databases topic::Amazon_RDS"
"clf-c02-2026-09-01-003"	"A company wants to move an existing Microsoft SQL Server application to a managed AWS database with minimal application change. Which service should it evaluate first?"	"Amazon RDS for SQL Server."	"RDS supports familiar commercial and open-source engines, making it suitable for many lift-and-shift relational migrations.<br><strong>Example:</strong> A legacy application keeps Microsoft SQL Server while moving to RDS so AWS manages backups and database infrastructure."	"CLF-C02 Cloud Technology and Services day::2026-09-01 chat::2026-09-01_-_Chat_8_—_Databases,_VPC_&_EC2 type::scenario topic::Databases topic::Migration"
"clf-c02-2026-09-01-004"	"What is Amazon Aurora?"	"An AWS-built relational database engine compatible with MySQL and PostgreSQL."	"Aurora is cloud-native rather than a hosted copy of the MySQL or PostgreSQL engine.<br><strong>Example:</strong> A new payment application uses Aurora PostgreSQL for relational SQL with storage designed to remain available across multiple AZs."	"CLF-C02 Cloud Technology and Services day::2026-09-01 chat::2026-09-01_-_Chat_8_—_Databases,_VPC_&_EC2 type::recall topic::Databases topic::Aurora"
"clf-c02-2026-09-01-005"	"How does Aurora differ from the other engines available through Amazon RDS?"	"Aurora is an AWS-built cloud-native engine; the other RDS choices are existing third-party or open-source engines."	"Both are managed relational options, but their engine origins and architectures differ.<br><strong>Example:</strong> Choose Aurora for an AWS-built MySQL-compatible design; choose RDS for SQL Server when the application must keep the Microsoft engine."	"CLF-C02 Cloud Technology and Services day::2026-09-01 chat::2026-09-01_-_Chat_8_—_Databases,_VPC_&_EC2 type::comparison topic::Databases topic::Relational_databases"
"clf-c02-2026-09-01-006"	"Across how many Availability Zones does Aurora store copies of data in a typical Aurora cluster?"	"Three Availability Zones."	"Aurora’s distributed storage maintains copies across three AZs for durability and availability.<br><strong>Example:</strong> A new payment application uses Aurora PostgreSQL for relational SQL with storage designed to remain available across multiple AZs."	"CLF-C02 Cloud Technology and Services day::2026-09-01 chat::2026-09-01_-_Chat_8_—_Databases,_VPC_&_EC2 type::recall topic::Databases topic::High_availability"
"clf-c02-2026-09-01-007"	"A new relational workload needs MySQL compatibility and an AWS-built, highly available cloud-native engine. Which service fits?"	"Amazon Aurora MySQL-Compatible Edition. It combines MySQL compatibility with AWS-designed distributed storage."	"Aurora combines familiar MySQL or PostgreSQL compatibility with an AWS-designed distributed architecture.<br><strong>Example:</strong> A new application keeps the MySQL protocol but uses Aurora MySQL-Compatible Edition for an AWS-built relational design."	"CLF-C02 Cloud Technology and Services day::2026-09-01 chat::2026-09-01_-_Chat_8_—_Databases,_VPC_&_EC2 type::scenario topic::Databases topic::Service_selection"
"clf-c02-2026-09-01-008"	"Which option best supports a lift-and-shift application that must retain its Oracle Database engine?"	"Amazon RDS for Oracle. It preserves the Oracle engine while AWS manages much of the database infrastructure."	"Aurora supports MySQL and PostgreSQL compatibility, not the Oracle engine.<br><strong>Example:</strong> An application that depends on Oracle-specific features moves to RDS for Oracle instead of changing database engines."	"CLF-C02 Cloud Technology and Services day::2026-09-01 chat::2026-09-01_-_Chat_8_—_Databases,_VPC_&_EC2 type::single-choice topic::Databases topic::Service_selection"
"clf-c02-2026-09-01-009"	"What workload is Amazon Redshift designed for?"	"Data warehousing and large-scale analytical SQL workloads."	"Redshift supports OLAP and business-intelligence analysis over large datasets.<br><strong>Example:</strong> A retailer loads years of sales data into Redshift so analysts can run large business-intelligence reports."	"CLF-C02 Cloud Technology and Services day::2026-09-01 chat::2026-09-01_-_Chat_8_—_Databases,_VPC_&_EC2 type::recall topic::Analytics topic::Data_warehouse"
"clf-c02-2026-09-01-010"	"Executives need complex SQL reports across terabytes or petabytes of historical sales data. Which service is the best fit?"	"Amazon Redshift. It is designed for analytical SQL and data-warehouse reporting over large datasets."	"This is an analytical data-warehouse workload rather than an operational transaction database workload.<br><strong>Example:</strong> A retailer loads years of sales data into Redshift so analysts can run large business-intelligence reports."	"CLF-C02 Cloud Technology and Services day::2026-09-01 chat::2026-09-01_-_Chat_8_—_Databases,_VPC_&_EC2 type::scenario topic::Analytics topic::Business_intelligence"
"clf-c02-2026-09-01-011"	"What is the exam-level distinction between Amazon RDS and Amazon Redshift?"	"RDS serves relational operational workloads; Redshift is a data warehouse for analytics."	"The distinction is primarily OLTP-style application work versus OLAP-style analysis.<br><strong>Example:</strong> An application records individual orders in RDS, then analysts summarize years of order history in a Redshift warehouse."	"CLF-C02 Cloud Technology and Services day::2026-09-01 chat::2026-09-01_-_Chat_8_—_Databases,_VPC_&_EC2 type::comparison topic::Databases topic::Analytics"
"clf-c02-2026-09-01-012"	"What does Amazon ElastiCache provide?"	"A managed in-memory cache using Valkey, Memcached, or Redis OSS."	"Keeping frequently accessed data in memory can lower latency and reduce load on backing databases.<br><strong>Example:</strong> A catalog page reads popular product details from memory instead of querying the database on every visit."	"CLF-C02 Cloud Technology and Services day::2026-09-01 chat::2026-09-01_-_Chat_8_—_Databases,_VPC_&_EC2 type::recall topic::Caching topic::In-memory"
"clf-c02-2026-09-01-013"	"A web application repeatedly reads the same product catalog rows and is overloading its database. What should be added?"	"Amazon ElastiCache. It keeps frequently requested results in memory so the application makes fewer database reads."	"Frequently accessed results can be served from memory instead of repeatedly querying the database.<br><strong>Example:</strong> A catalog page reads popular product details from memory instead of querying the database on every visit."	"CLF-C02 Cloud Technology and Services day::2026-09-01 chat::2026-09-01_-_Chat_8_—_Databases,_VPC_&_EC2 type::scenario topic::Caching topic::Performance"
"clf-c02-2026-09-01-014"	"Which THREE engines are current Amazon ElastiCache choices?"	"Valkey, Memcached, and Redis OSS."	"The service is not limited to only the two engines historically emphasized in older learning material.<br><strong>Example:</strong> An application can choose Valkey or Redis OSS for feature-rich caching, or Memcached for a simpler distributed cache."	"CLF-C02 Cloud Technology and Services day::2026-09-01 chat::2026-09-01_-_Chat_8_—_Databases,_VPC_&_EC2 type::multiple-response topic::Caching topic::Engines"
"clf-c02-2026-09-01-015"	"What data model is Amazon Neptune designed for?"	"Graph data made of highly connected entities and relationships."	"Graph databases make relationship traversal a first-class workload.<br><strong>Example:</strong> A fraud analyst follows links among accounts, devices, addresses, and transactions to discover a fraud ring."	"CLF-C02 Cloud Technology and Services day::2026-09-01 chat::2026-09-01_-_Chat_8_—_Databases,_VPC_&_EC2 type::recall topic::Databases topic::Graph_database"
"clf-c02-2026-09-01-016"	"A fraud team needs to traverse relationships among accounts, devices, addresses, and transactions. Which database fits?"	"Amazon Neptune. Its graph model is designed to traverse relationships among highly connected entities."	"The core requirement is exploring a highly connected graph of entities.<br><strong>Example:</strong> A fraud analyst follows links among accounts, devices, addresses, and transactions to discover a fraud ring."	"CLF-C02 Cloud Technology and Services day::2026-09-01 chat::2026-09-01_-_Chat_8_—_Databases,_VPC_&_EC2 type::scenario topic::Databases topic::Fraud_detection"
"clf-c02-2026-09-01-017"	"What kind of data is Amazon Timestream for LiveAnalytics designed to store?"	"Time-series data: values associated with timestamps and analyzed over time."	"Operational metrics, application telemetry, and IoT measurements are common examples.<br><strong>Example:</strong> Millions of sensors store timestamped temperature readings for analysis over time."	"CLF-C02 Cloud Technology and Services day::2026-09-01 chat::2026-09-01_-_Chat_8_—_Databases,_VPC_&_EC2 type::recall topic::Databases topic::Time_series"
"clf-c02-2026-09-01-018"	"Millions of sensors send temperature readings every minute for time-based analysis. Which database is the best fit?"	"Amazon Timestream for LiveAnalytics. It stores and analyzes measurements organized by time."	"The workload is a high-volume sequence of measurements indexed by time.<br><strong>Example:</strong> Millions of sensors store timestamped temperature readings for analysis over time."	"CLF-C02 Cloud Technology and Services day::2026-09-01 chat::2026-09-01_-_Chat_8_—_Databases,_VPC_&_EC2 type::scenario topic::Databases topic::IoT"
"clf-c02-2026-09-01-019"	"Which service is the most direct fit for ingesting and querying timestamped IoT telemetry?"	"Amazon Timestream for LiveAnalytics. It stores and analyzes measurements organized by time."	"Redshift can analyze large datasets, but Timestream is purpose-built for time-series measurements.<br><strong>Example:</strong> Millions of devices write timestamped readings to Timestream so operators can query how measurements changed over time."	"CLF-C02 Cloud Technology and Services day::2026-09-01 chat::2026-09-01_-_Chat_8_—_Databases,_VPC_&_EC2 type::single-choice topic::Databases topic::Service_selection"
"clf-c02-2026-09-01-020"	"What is the primary purpose of AWS Database Migration Service (AWS DMS)?"	"To migrate or replicate databases to AWS with minimal downtime."	"DMS supports both homogeneous and heterogeneous database moves.<br><strong>Example:</strong> A company copies its on-premises database to AWS while ongoing changes continue to replicate until cutover."	"CLF-C02 Cloud Technology and Services day::2026-09-01 chat::2026-09-01_-_Chat_8_—_Databases,_VPC_&_EC2 type::recall topic::Migration topic::Databases"
